gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Prediction,Churn_Probability
1,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.804563062130219,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.00065955456
0,0,0,1,-0.62591876415828,1,1,-0.0020504069191315333,-0.5248385954261489,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0,0.35790077
0,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.9800512611463297,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0,0.0010635327
1,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9272253098745368,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1,0.54642165
0,0,1,1,-0.21871512695797646,1,0,0.046141706085686136,-0.17988839592617856,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0,0.038788065
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9985022148585647,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0,0.17128976
1,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9874431472224551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0.6021856
0,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.1940585679967946,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0,0.0023140393
1,0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8675151742344638,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.49824473
0,0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.5590824768363802,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,0.11426584
1,0,0,0,0.06632741908223598,1,1,1.3822264942192488,0.559501882595035,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1,0.6003842
0,0,0,0,-0.8702409464784621,1,1,1.099721004191008,-0.5194083945509333,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,1,0.9750019
1,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.79740819057721,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0,0.025342463
0,0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.1436237344647615,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0,0.036621355
0,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.82277120198218,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0.007540419
0,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.1388116052338793,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,0.0066264947
0,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.5741298090617433,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0,0.21463639
0,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7173088177857488,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0.5342356
1,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9645965703694143,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.2622502
0,0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-0.9437808003477547,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0.6332142
1,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8546531667515656,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0,0.016209707
0,0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.8706788815296407,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0,0.0011767016
0,1,0,0,0.43281069256250915,1,1,0.8471278601657574,0.687310269048278,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0.19287808
0,0,0,0,-0.7073594915983407,1,1,1.141265929195161,-0.3776933961001872,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,1,0.87736106
0,1,1,0,-0.30015585439803716,1,1,0.1574821050968162,-0.23366062898319062,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0,0.046434686
0,1,1,0,-0.9924020376385531,1,1,0.5280628361338618,-0.7278309826150992,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0.7764161
0,1,1,1,1.125056875803025,1,1,0.33529438411459117,0.9599681601485298,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,0,0.008104187
1,1,0,0,-0.5851984004382496,1,1,1.0199547481830342,-0.2337047769577859,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,0.72559094
0,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.7788468669284871,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0,0.12609568
1,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.116645094544028,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0,0.11752057
0,0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.612604768921502,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0.018897936
0,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.4598293750601874,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.0020688707
0,0,1,0,0.5956921474426305,1,1,1.1877962451998125,1.070669206446114,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0,0.34661815
1,0,0,0,1.125056875803025,1,1,0.8354952811645946,1.398953545536378,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.1540487
1,0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.3002429017844411,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0.0013141731
0,0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.5848798408756862,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,0.0275819
0,0,0,0,-0.9516816739185228,1,0,0.9850570111795457,-0.6289615935090412,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,0.858235
0,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8996548997398044,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0,0.3303195
1,0,1,0,0.5956921474426305,1,1,0.46989994112804756,0.6041354849108307,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0,0.089930944
0,0,0,0,-0.055833672077855064,1,0,0.47987072312904416,0.09504311586572828,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0,0.0035844215
0,0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.5964466102196411,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0014320537
1,0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.6156730531558716,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0.3837852
1,0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-0.9857655241878356,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,0.2122077
0,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.5259202208037324,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0,0.0018099406
1,1,1,1,1.2879383306831464,1,1,1.5567151792366918,2.1266446107898513,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0.025754724
1,0,1,1,1.2064976032430856,1,1,-1.3464441800535252,-0.3784880596429018,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0017137064
0,0,0,1,-1.1960038562387048,1,1,-0.00869759491979612,-0.9291015987948348,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0.12997203
0,1,0,0,0.9621754209229036,1,0,1.5201556452330371,1.7030447945484464,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0,0.0831656
0,0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.1796527091775211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0,0.029203452
0,0,1,1,-0.9924020376385531,1,0,-0.33607160395252245,-0.7945164982412213,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.050848845
1,1,0,0,-0.0965540357978854,1,1,0.3319707901142591,-0.07532391809733362,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0,0.11286926
0,0,1,1,0.5142514200025698,1,1,-1.2916048790480432,-0.4703158468010176,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,0.012922273
0,0,0,1,-1.2774445836787656,1,1,0.48485611412954227,-0.9723886878854755,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,0.94632435
0,0,1,1,-0.8702409464784621,0,0,-0.47233895796614456,-0.7578295313525703,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,0.17916216
0,0,1,0,-1.0331224013585834,1,1,0.34526516611558833,-0.7880488199630175,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0.61743695
0,0,0,0,0.3920903288424788,1,1,1.2974748472107767,0.9030834948825526,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,0.29441562
0,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5777057950039584,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0009840787
1,0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.6018105891329637,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,1,0.9314438
0,0,1,0,0.10704778280226633,1,1,-0.08680205392760396,-0.029343802556382977,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.028367171
0,0,1,1,0.6364125111626608,1,0,-1.4660935640654862,-0.5407760142550334,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0014331841
0,0,1,1,0.5549717837226001,1,1,-1.4893587220678117,-0.5981242332542606,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0.00083143474
1,0,1,0,-0.13727439951791576,0,0,-1.0307027500219619,-0.5618566721242643,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.25723276
1,0,1,1,-0.0965540357978854,1,0,0.574593152138513,0.12727113732025933,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.16036035
1,1,0,0,-1.2774445836787656,1,0,0.3303089931140931,-0.9744415687041545,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0.13468027
1,0,1,1,1.369379058123207,1,1,0.6394032351449919,1.5153055325821543,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0,0.0038426132
0,0,0,0,1.3286586944031769,1,1,1.5384354122348645,2.130176448757471,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0,0.10462382
1,0,0,0,1.6137012404433893,1,1,1.2010906212011416,2.2855993933200414,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0,0.035056315
0,0,0,0,-0.8295205827584317,1,1,0.47156173812821356,-0.5980138633177725,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.58421594
1,0,1,1,1.5729808767233588,1,1,0.06940686408801149,1.0890347638777371,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0,0.0038326783
1,0,0,0,-1.1145631287986442,1,0,-1.4527991880641573,-0.957157636650115,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.26349536
1,0,0,0,0.7992939660427822,1,0,-1.4544609850643233,-0.5186137310082188,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0025778092
0,1,1,0,-0.30015585439803716,1,1,1.1213243651931677,0.10268071547070626,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1,0.81325245
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9985022148585647,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.34323493
0,0,1,1,-1.2774445836787656,1,0,-1.505976692069473,-0.9988333246680291,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.37521318
1,0,0,0,0.22920887396235737,1,0,1.0049985751815391,0.5843792662794571,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0,0.05559068
0,1,1,0,1.369379058123207,0,0,-0.6385186579827569,0.3290494552078404,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0.02479696
1,0,1,0,1.4508197855632678,1,1,1.503537675231376,2.3530574985015806,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,1,0.6232113
1,0,0,0,-1.1145631287986442,0,0,-1.3447823830533592,-0.9631838351823664,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.24843831
0,0,1,1,1.6137012404433893,1,1,1.3091074262119398,2.216728552951454,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,0.0055341963
0,0,0,0,-0.015113308357824713,0,0,-1.150352134033923,-0.5978814193939866,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0,0.034001015
1,0,0,0,0.43281069256250915,1,0,0.9833952141793793,0.7237544220766552,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0,0.10955192
1,0,1,1,1.6137012404433893,1,0,-1.5076384890696393,-0.4055728420570864,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0.00056914956
1,0,1,0,0.9214550572028734,1,1,1.0631614701873533,1.3054481353436427,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0.13827835
0,0,0,0,0.7992939660427822,1,0,-0.22639300194155818,0.33567165139712757,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,0.028927907
0,0,0,0,0.43281069256250915,1,1,0.893658176170409,0.7382349577438965,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0,0.07770405
0,1,1,0,0.18848851024232702,1,1,0.39013368512007346,0.2588100276268009,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.6015292
0,0,1,1,1.2879383306831464,0,1,-0.33773340095268845,0.5039858045415107,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0,0.0035105906
1,0,1,1,-1.1960038562387048,1,0,0.8338334841644282,-0.8977565368322087,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0.12861297
0,0,0,0,0.14776814652229667,0,0,-1.1204397880309327,-0.510159393873229,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.011007013
0,0,1,1,-0.9109613101984924,1,1,1.1794872601989819,-0.5373986941984968,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,0.9881074
0,0,0,0,0.35136996512244845,1,0,-1.4660935640654862,-0.6387182958945911,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0.00092592643
1,0,1,1,-0.21871512695797646,1,1,0.6792863631489789,-0.05753228433544878,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,0.23766819
0,0,1,1,0.9621754209229036,1,1,1.1645310871974868,1.427539359086801,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0,0.049443286
0,0,0,0,-1.0738427650786138,1,0,-1.46443176706532,-0.9576432643706626,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.04035671
1,0,0,0,-1.1960038562387048,1,1,0.32033821111309646,-0.9060784300434129,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.89033765
0,0,1,1,-1.0331224013585834,1,0,-0.467353566965646,-0.8527476767323534,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.096944794
0,0,1,1,-1.1552834925186746,1,0,-1.4594463760648215,-0.9796510297063937,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.11785424
1,0,0,0,0.025607055362205634,1,1,0.8039211381614382,0.32922604710622144,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0,0.02751731
0,1,0,0,-0.21871512695797646,1,1,0.44164939212522314,-0.06464010824528367,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0.32542226
1,0,1,0,1.6137012404433893,1,1,-1.3697093380558512,-0.2463310976920268,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.00034896354
1,0,0,0,-1.2774445836787656,1,0,-1.4960059100684764,-0.9987008807442433,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,0.28946283
1,1,0,0,1.5729808767233588,0,1,-0.2762469119465419,0.7520311998049115,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,0.046340175
0,0,0,0,-0.7888002190384014,1,1,0.7042133181514708,-0.4707352525596724,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0.64601094
0,0,1,1,-0.30015585439803716,0,1,-0.2047896409393986,-0.3440305654713106,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,1,0.6318449
1,0,0,0,1.4100994218432374,1,0,-0.47233895796614456,0.4318480140528753,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,0.013989399
1,0,0,0,-1.2774445836787656,0,1,-0.9742016520163136,-0.9917696487327894,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1,0.913087
1,0,0,0,-1.2367242199587352,1,0,-0.6784017859867437,-0.9715498763681658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.55620766
0,0,0,0,0.43281069256250915,1,1,-1.2982520670487077,-0.48285387158606796,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0.016566154
0,0,0,0,-0.38159658183809786,1,1,0.3402797751150897,-0.22224837755031904,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.22357778
0,0,1,1,1.2879383306831464,1,0,-1.481049737066981,-0.4433193603360234,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0.0012589847
1,0,0,1,1.002895784642934,1,1,-1.5009913010689746,-0.4906459891021293,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,0.056795623
0,1,1,0,-1.2774445836787656,1,1,0.18905624809997262,-0.9763178576244527,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0.7983404
0,1,1,1,1.6137012404433893,1,1,0.7740087921584478,1.8293742238527486,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.00055853155
0,0,0,0,-0.9924020376385531,1,0,0.21232140610229844,-0.7585800469206894,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0,0.42178363
0,0,1,0,1.1657772395230555,1,1,1.2060760122016398,1.6287658272919416,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,0,0.003089322
1,0,0,0,1.2879383306831464,1,1,0.6493740171459885,1.3275883446031598,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0,0.023834597
1,1,1,0,1.5729808767233588,1,0,-1.3564149620545218,-0.23209337588505932,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.0012240398
0,0,1,1,1.3286586944031769,1,1,1.1396041321949948,1.8254229801264736,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,0,0.0049816836
1,0,0,0,-1.1960038562387048,1,0,-1.5009913010689746,-0.9803353233126202,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0.009589093
